"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7665","Поле 'Поиск' принимает данные с пропущенной буквой","tests","Mon Aug 26 12:21:44 MSK 2024","passed","Mon Aug 26 12:21:52 MSK 2024","","test_ui","",""
"","15945","Поле 'Поиск' не принимает данные, состоящие из двух слов без пробела","tests","Mon Aug 26 12:22:03 MSK 2024","passed","Mon Aug 26 12:22:19 MSK 2024","","test_ui","",""
"","27055","Поиск товара с данными из пробелов","tests","Mon Aug 26 12:23:27 MSK 2024","passed","Mon Aug 26 12:23:54 MSK 2024","","test_ui","",""
"","7092","Поле 'Поиск' принимает данные с символом на конце запроса","tests","Mon Aug 26 12:21:54 MSK 2024","passed","Mon Aug 26 12:22:01 MSK 2024","","test_ui","",""
"","7048","Поле 'Поиск' принимает данные на латинице","tests","Mon Aug 26 12:21:26 MSK 2024","passed","Mon Aug 26 12:21:33 MSK 2024","","test_ui","",""
"","7345","Поле 'Поиск' принимает данные состоящие из 2 букв","tests","Mon Aug 26 12:21:35 MSK 2024","passed","Mon Aug 26 12:21:42 MSK 2024","","test_ui","",""
"","7224","Проверка работы поля 'Поиск'","tests","Mon Aug 26 12:21:17 MSK 2024","passed","Mon Aug 26 12:21:24 MSK 2024","","test_ui","",""
"","16835","Поиск товара с помощью символов","tests","Mon Aug 26 12:22:39 MSK 2024","passed","Mon Aug 26 12:22:56 MSK 2024","","test_ui","",""
"","27179","Поиск товара с пустым полем","tests","Mon Aug 26 12:22:58 MSK 2024","passed","Mon Aug 26 12:23:25 MSK 2024","","test_ui","",""
"","16738","Поле 'Поиск' не принимает данные, состоящие из одной буквы","tests","Mon Aug 26 12:22:21 MSK 2024","passed","Mon Aug 26 12:22:37 MSK 2024","","test_ui","",""
